Date,S&P 500,Stoxx Europe 600,S&P China 500 (USD),%S&P 500,%Stoxx Europe 600,%S&P China 500 (USD)
1/3/2020,3234.850098,418.329987,3351.25,0.00%,0.00%,0.00%
1/6/2020,3246.280029,416.630005,3336.31,0.35%,-0.41%,-0.45%
1/7/2020,3237.179932,417.670013,3366.16,-0.28%,0.25%,0.89%
1/8/2020,3253.050049,418.359985,3337.88,0.49%,0.17%,-0.84%
1/9/2020,3274.699951,419.640015,3393.58,0.67%,0.31%,1.67%
1/10/2020,3265.350098,419.140015,3401.93,-0.29%,-0.12%,0.25%
1/13/2020,3288.129883,418.390015,3456.01,0.70%,-0.18%,1.59%
1/14/2020,3283.149902,419.589996,3439.71,-0.15%,0.29%,-0.47%
1/15/2020,3289.290039,419.630005,3426.19,0.19%,0.01%,-0.39%
1/16/2020,3316.810059,420.540009,3424.56,0.84%,0.22%,-0.05%
1/17/2020,3329.620117,424.559998,3446.01,0.39%,0.96%,0.63%
1/21/2020,3320.790039,423.380005,3358.08,-0.27%,-0.28%,-2.55%
1/22/2020,3321.75,423.040009,3389.97,0.03%,-0.08%,0.95%
1/23/2020,3325.540039,420.029999,3296.62,0.11%,-0.71%,-2.75%
1/24/2020,3295.469971,423.640015,3285.44,-0.90%,0.86%,-0.34%
1/27/2020,3243.629883,414.070007,3267.93,-1.57%,-2.26%,-0.53%
1/28/2020,3276.23999,417.559998,3280.45,1.01%,0.84%,0.38%
1/29/2020,3273.399902,419.410004,3252.74,-0.09%,0.44%,-0.84%
1/30/2020,3283.659912,415.160004,3211.98,0.31%,-1.01%,-1.25%
1/31/2020,3225.52002,410.709991,3200.24,-1.77%,-1.07%,-0.37%
2/3/2020,3248.919922,411.720001,3073.85,0.73%,0.25%,-3.95%
2/4/2020,3297.590088,418.470001,3163.38,1.50%,1.64%,2.91%
2/5/2020,3334.689941,423.619995,3180.75,1.13%,1.23%,0.55%
2/6/2020,3345.780029,425.48999,3246.17,0.33%,0.44%,2.06%
2/7/2020,3327.709961,424.359985,3231.37,-0.54%,-0.27%,-0.46%
2/10/2020,3352.090088,424.640015,3232.98,0.73%,0.07%,0.05%
2/11/2020,3357.75,428.480011,3272.12,0.17%,0.90%,1.21%
2/12/2020,3379.449951,431.160004,3309.95,0.65%,0.63%,1.16%
2/13/2020,3373.939941,431.079987,3294.44,-0.16%,-0.02%,-0.47%
2/14/2020,3380.159912,430.519989,3303.62,0.18%,-0.13%,0.28%
2/18/2020,3370.290039,430.329987,3317.8,-0.29%,-0.04%,0.43%
2/19/2020,3386.149902,433.899994,3330.9,0.47%,0.83%,0.39%
2/20/2020,3373.22998,430.190002,3345.82,-0.38%,-0.86%,0.45%
2/21/2020,3337.75,428.070007,3318.15,-1.05%,-0.49%,-0.83%
2/24/2020,3225.889893,411.859985,3274.85,-3.35%,-3.79%,-1.30%
